file,algorithm,HOs,RLFs,PingPongs
s11_pA_seed21_tick.csv,Algo1,1459,668,186
s11_pA_seed21_tick.csv,Algo2,26,4605,2
s11_pA_seed21_tick.csv,PPO,26,4605,2
s12_pA_seed21_tick.csv,Algo1,252,6,23
s12_pA_seed21_tick.csv,Algo2,364,146,47
s12_pA_seed21_tick.csv,PPO,364,146,47
s13_pA_seed21_tick.csv,Algo1,139,21,7
s13_pA_seed21_tick.csv,Algo2,24,5004,0
s13_pA_seed21_tick.csv,PPO,24,5004,0
s14_pA_seed21_tick.csv,Algo1,2289,478,275
s14_pA_seed21_tick.csv,Algo2,14,2467,0
s14_pA_seed21_tick.csv,PPO,14,2467,0
s15_pA_seed21_tick.csv,Algo1,809,218,99
s15_pA_seed21_tick.csv,Algo2,175,1768,5
s15_pA_seed21_tick.csv,PPO,176,1645,5
