file,algorithm,HOs,RLFs,PingPongs
s10_pA_seed11_tick.csv,Baseline,319,499,0
s10_pA_seed11_tick.csv,PPO_Agent,604,1506,11
s10_pA_seed12_tick.csv,Baseline,319,499,0
s10_pA_seed12_tick.csv,PPO_Agent,604,1506,11
s10_pA_seed13_tick.csv,Baseline,319,499,0
s10_pA_seed13_tick.csv,PPO_Agent,604,1506,11
s10_pA_seed14_tick.csv,Baseline,319,499,0
s10_pA_seed14_tick.csv,PPO_Agent,604,1506,11
s10_pA_seed15_tick.csv,Baseline,319,499,0
s10_pA_seed15_tick.csv,PPO_Agent,604,1506,11
s10_pB_seed11_tick.csv,Baseline,134,1217,2
s10_pB_seed11_tick.csv,PPO_Agent,624,1207,37
s10_pB_seed12_tick.csv,Baseline,134,1217,2
s10_pB_seed12_tick.csv,PPO_Agent,624,1207,37
s10_pB_seed13_tick.csv,Baseline,134,1217,2
s10_pB_seed13_tick.csv,PPO_Agent,624,1207,37
s10_pB_seed14_tick.csv,Baseline,134,1217,2
s10_pB_seed14_tick.csv,PPO_Agent,624,1207,37
s10_pB_seed15_tick.csv,Baseline,134,1217,2
s10_pB_seed15_tick.csv,PPO_Agent,624,1207,37
s10_pC_seed11_tick.csv,Baseline,177,2441,0
s10_pC_seed11_tick.csv,PPO_Agent,936,2287,55
s10_pC_seed12_tick.csv,Baseline,177,2441,0
s10_pC_seed12_tick.csv,PPO_Agent,936,2287,55
s10_pC_seed13_tick.csv,Baseline,177,2441,0
s10_pC_seed13_tick.csv,PPO_Agent,936,2287,55
s10_pC_seed14_tick.csv,Baseline,177,2441,0
s10_pC_seed14_tick.csv,PPO_Agent,936,2287,55
s10_pC_seed15_tick.csv,Baseline,177,2441,0
s10_pC_seed15_tick.csv,PPO_Agent,936,2287,55
s8_pA_seed11_tick.csv,Baseline,840,13,65
s8_pA_seed11_tick.csv,PPO_Agent,898,1822,89
s8_pA_seed12_tick.csv,Baseline,840,13,65
s8_pA_seed12_tick.csv,PPO_Agent,898,1822,89
s8_pA_seed13_tick.csv,Baseline,840,13,65
s8_pA_seed13_tick.csv,PPO_Agent,898,1822,89
s8_pA_seed14_tick.csv,Baseline,840,13,65
s8_pA_seed14_tick.csv,PPO_Agent,898,1822,89
s8_pA_seed15_tick.csv,Baseline,840,13,65
s8_pA_seed15_tick.csv,PPO_Agent,898,1822,89
s8_pB_seed11_tick.csv,Baseline,2879,290,345
s8_pB_seed11_tick.csv,PPO_Agent,568,1465,50
s8_pB_seed12_tick.csv,Baseline,2879,290,345
s8_pB_seed12_tick.csv,PPO_Agent,568,1465,50
s8_pB_seed13_tick.csv,Baseline,2879,290,345
s8_pB_seed13_tick.csv,PPO_Agent,568,1465,50
s8_pB_seed14_tick.csv,Baseline,2879,290,345
s8_pB_seed14_tick.csv,PPO_Agent,568,1465,50
s8_pB_seed15_tick.csv,Baseline,2879,290,345
s8_pB_seed15_tick.csv,PPO_Agent,568,1465,50
s8_pC_seed11_tick.csv,Baseline,1284,17,123
s8_pC_seed11_tick.csv,PPO_Agent,782,3345,72
s8_pC_seed12_tick.csv,Baseline,1284,17,123
s8_pC_seed12_tick.csv,PPO_Agent,782,3345,72
s8_pC_seed13_tick.csv,Baseline,1284,17,123
s8_pC_seed13_tick.csv,PPO_Agent,782,3345,72
s8_pC_seed14_tick.csv,Baseline,1284,17,123
s8_pC_seed14_tick.csv,PPO_Agent,782,3345,72
s8_pC_seed15_tick.csv,Baseline,1284,17,123
s8_pC_seed15_tick.csv,PPO_Agent,782,3345,72
s9_pA_seed11_tick.csv,Baseline,8926,3108,1104
s9_pA_seed11_tick.csv,PPO_Agent,453,17180,22
s9_pA_seed12_tick.csv,Baseline,8926,3108,1104
s9_pA_seed12_tick.csv,PPO_Agent,453,17180,22
s9_pA_seed13_tick.csv,Baseline,8926,3108,1104
s9_pA_seed13_tick.csv,PPO_Agent,453,17180,22
s9_pA_seed14_tick.csv,Baseline,8926,3108,1104
s9_pA_seed14_tick.csv,PPO_Agent,453,17180,22
s9_pA_seed15_tick.csv,Baseline,8926,3108,1104
s9_pA_seed15_tick.csv,PPO_Agent,453,17180,22
s9_pB_seed11_tick.csv,Baseline,7170,3748,759
s9_pB_seed11_tick.csv,PPO_Agent,138,16557,12
s9_pB_seed12_tick.csv,Baseline,7170,3748,759
s9_pB_seed12_tick.csv,PPO_Agent,138,16557,12
s9_pB_seed13_tick.csv,Baseline,7170,3748,759
s9_pB_seed13_tick.csv,PPO_Agent,138,16557,12
s9_pB_seed14_tick.csv,Baseline,7170,3748,759
s9_pB_seed14_tick.csv,PPO_Agent,138,16557,12
s9_pB_seed15_tick.csv,Baseline,7170,3748,759
s9_pB_seed15_tick.csv,PPO_Agent,138,16557,12
s9_pC_seed11_tick.csv,Baseline,6127,2135,776
s9_pC_seed11_tick.csv,PPO_Agent,62,17626,2
s9_pC_seed12_tick.csv,Baseline,6127,2135,776
s9_pC_seed12_tick.csv,PPO_Agent,62,17626,2
s9_pC_seed13_tick.csv,Baseline,6127,2135,776
s9_pC_seed13_tick.csv,PPO_Agent,62,17626,2
s9_pC_seed14_tick.csv,Baseline,6127,2135,776
s9_pC_seed14_tick.csv,PPO_Agent,62,17626,2
s9_pC_seed15_tick.csv,Baseline,6127,2135,776
s9_pC_seed15_tick.csv,PPO_Agent,62,17626,2
